id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm;
3191,Malleson Garden Cottage,3754,Brigitte,Ward 57,-33.94762,18.47599,Entire home/apt,635,3,79,2024-06-18,0.59,1,305,6;
298622,Stunning Sea View apt on the Cape Peninsula,1539169,Diane,Ward 61,-34.20875,18.4594,Entire home/apt,1500,2,71,2024-01-17,0.47,1,286,1;
15007,Blaauwberg House (now with inverter),59072,Dirk,Ward 23,-33.80001,18.46063,Entire home/apt,3102,2,46,2024-04-02,0.36,4,147,2;
15068,Grande Bay,59318,Linda,Ward 23,-33.78826,18.4594,Entire home/apt,2000,4,0,5,351,0;
357793,CityChic @ the Piazza meets Table Mountain,1802190,Liliane,Ward 115,-33.92528,18.42022,Entire home/apt,2000,4,224,2024-04-12,1.54,1,143,16;
15077,Top relaxed beach living in style,59342,Georg,Ward 4,-33.858356,18.490376,Private room,1070,2,7,2022-06-16,0.05,6,205,0;
357993,Beach View Studio with Balcony Walkout,1811942,Shannon,Ward 54,-33.96455,18.38113,Entire home/apt,1700,2,108,2024-02-08,0.86,3,199,3;
15199,Self catering apartment,59694,Alexa,Ward 115,-33.91115,18.41235,Entire home/apt,2500,14,2,2016-04-15,0.02,1,365,0;
"15354,""Aurora Self Catering Units, Durbanville, Cape Town"",60196,Ian,Ward 112,-33.83074,18.63142,Entire home/apt,3,0,1,0,0";
363935,Surfers' Dream,1838554,Antje,Ward 64,-34.10183,18.47495,Entire home/apt,14,4,2020-12-30,0.04,2,0,0;
15480,In hip designer district of Cape T.,60443,Jean,Ward 115,-33.92876,18.42247,Entire home/apt,690,30,23,2022-08-24,0.13,1,333,0;
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,Ward 54,-33.9659,18.37724,Entire home/apt,25714,4,2,2023-03-01,0.02,5,258,0;
370531,Light & Fun House in Cape Town,1867661,Claudia,Ward 57,-33.939449310302734,18.467430114746094,Entire home/apt,1100,28,23,2024-01-13,0.15,1,127,1;
381267,Victorian beauty in observatory!,1912713,Katrin,Ward 57,-33.93894,18.47248,Entire home/apt,2000,15,0,2,308,0;
"16259,""Luxury Cottage, secure, spacious, no load shedding"",63255,Cheryl,Ward 59,-33.99612,18.46563,Entire home/apt,1165,2,16,2024-01-12,0.13,3,293,2";
